address,city,country,name,name_url,num_animals,num_species,state
805 S Kiwanis Avenue,Sioux Falls,United States,Great Plains Zoo and Museum,https://en.wikipedia.org/wiki/Great_Plains_Zoo, , ,South Dakota
500 Ringgold Street,Brownsville,United States,Gladys Porter Zoo,https://en.wikipedia.org/wiki/Gladys_Porter_Zoo,1600,1600,Texas
225 Baker Street,Atlanta,United States,Georgia Aquarium,https://en.wikipedia.org/wiki/Georgia_Aquarium,Thousands of animals,Thousands of animals,Georgia
"Ruta 25, Km 1",Belén de Escobar,Argentina,Fundación Temaikèn,https://en.wikipedia.org/wiki/Temaik%C3%A8n,,,Provincia de Buenos Aires
894 W Belmont Ave,Fresno,United States,Fresno Chaffee Zoo,https://en.wikipedia.org/wiki/Fresno_Chaffee_Zoo,,,California
1 Franklin Park Road,Boston,United States,Franklin Park Zoo,https://en.wikipedia.org/wiki/Franklin_Park_Zoo,1000+,1000+,Massachusetts
2299 Co Rd 2008,Glen Rose,United States,Fossil Rim Wildlife Center,https://en.wikipedia.org/wiki/Fossil_Rim_Wildlife_Center,1000+,1000+,Texas
1989 Colonial Parkway,Fort Worth,United States,Fort Worth Zoo,https://en.wikipedia.org/wiki/Fort_Worth_Zoo,435,435,Texas
423 W 38th St,Erie,United States,Erie Zoo,https://en.wikipedia.org/wiki/Erie_Zoo,400,400,Pennsylvania
1661 Harding Blvd,Norristown,United States,Elmwood Park Zoo,https://en.wikipedia.org/wiki/Elmwood_Park_Zoo,300,300,Pennsylvania
402 Zoo Circle,Lufkin,United States,Ellen Trout Zoo,https://en.wikipedia.org/wiki/Ellen_Trout_Zoo,700,700,Texas
4001 E Paisano Drive,El Paso,United States,El Paso Zoo,https://en.wikipedia.org/wiki/El_Paso_Zoo,220,220,Texas
PO Box 10000,Bay Lake,United States,Disney's Animal Kingdom,https://en.wikipedia.org/wiki/Disney%27s_Animal_Kingdom,,,Florida
6000 Discovery Cove Way,Orlando,United States,Discovery Cove,https://en.wikipedia.org/wiki/Discovery_Cove,,,Florida
75 Sodens Rd,Emporia,United States,David Traylor Zoo of Emporia,https://en.wikipedia.org/wiki/David_Traylor_Zoo_of_Emporia,400,400,Kansas
1651 Coyote Point Drive,San Mateo,United States,CuriOdyssey,https://en.wikipedia.org/wiki/CuriOdyssey,100,100,California
650 So. R.L. Thorton Fwy,Dallas,United States,Dallas Zoo,https://en.wikipedia.org/wiki/Dallas_Zoo,2000+,2000+,Texas
1801 N Griffin Street,Dallas,United States,Dallas World Aquarium,https://en.wikipedia.org/wiki/Dallas_World_Aquarium,,,Texas
"602 Riverside Park Rd,",Bismarck,United States,Dakota Zoo,https://en.wikipedia.org/wiki/Dakota_Zoo,600+ ,600+ ,North Dakota
1225 Estabrook Drive,Saint Paul,United States,Como Park Zoo and Conservatory,https://en.wikipedia.org/wiki/Como_Park_Zoo_and_Conservatory,,,Minnesota
1356 Gary Avenue,Wheaton,United States,Cosley Zoo,https://en.wikipedia.org/wiki/Cosley_Zoo,,,Illinois
1875 Noble Avenue,Bridgeport,United States,Connecticut's Beardsley Zoo,https://en.wikipedia.org/wiki/Beardsley_Zoo,305,305,Connecticut
