address,city,country,name,name_url,num_animals,num_species,state
1309 NW 192nd Ave,Gainesville,,Lubee Bat Conservancy,https://en.wikipedia.org/wiki/Lubee_Bat_Conservancy,,,Florida
-,Myakka City,,Lemur Conservation Foundation,https://en.wikipedia.org/wiki/Lemur_Conservation_Foundation,,,Florida
6750 Tyson Valley Road,Eureka,,Endangered Wolf Center,https://en.wikipedia.org/wiki/Endangered_Wolf_Center,,,Missouri
27 E Main St,Hohenwald,,The Elephant Sanctuary (Hohenwald),https://en.wikipedia.org/wiki/The_Elephant_Sanctuary_(Hohenwald),11,11,Tennessee
3705 Erwin Rd,Durham,,Duke Lemur Center,https://en.wikipedia.org/wiki/Duke_Lemur_Center,,,North Carolina
6500 Magazine Street,New Orleans,,Audubon Nature Institute Center for Research of Endangered Species,https://en.wikipedia.org/wiki/Audubon_Nature_Institute,,,Louisiana
-,Des Moines,,Ape Cognition and Conservation Initiative,https://en.wikipedia.org/wiki/Ape_Cognition_and_Conservation_Initiative,,,Iowa
1101 W. Sligh Avenue,Tampa,United States,ZooTampa at Lowry Park,https://en.wikipedia.org/wiki/ZooTampa_at_Lowry_Park,"1,300+ ","1,300+ ",Florida
,Billings,United States,ZooMontana,https://en.wikipedia.org/wiki/ZooMontana,100,100,Montana
"Carrera 2 oeste, calle 14 esquina",Cali,,Zoológico de Cali,https://en.wikipedia.org/wiki/Cali_Zoo,1200,1200,Colombia
100 W Hersheypark Drive,Hershey,United States,ZooAmerica,https://en.wikipedia.org/wiki/ZooAmerica,More than 200,More than 200,Pennsylvania
12400 SW 152nd St / One Zoo Boulevard,Miami,United States,Zoo Miami,https://en.wikipedia.org/wiki/Zoo_Miami,"3,000","3,000",Florida
3500 Knoxville Zoo Dr,Knoxville,United States,Zoo Knoxville,https://en.wikipedia.org/wiki/Zoo_Knoxville,800,800,Tennessee
524 J Clyde Morris Boulevard,Newport News,United States,Virginia Living Museum,https://en.wikipedia.org/wiki/Virginia_Living_Museum,254+,254+,Virginia
717 General Booth Blvd,Virginia Beach,United States,Virginia Aquarium and Marine Science Center,https://en.wikipedia.org/wiki/Virginia_Aquarium,"12,000","12,000",Virginia
845 Avison Way,Vancouver,Canada,Vancouver Aquarium Marine Science Centre,https://en.wikipedia.org/wiki/Vancouver_Aquarium_Marine_Science_Centre,"58,000","58,000",British Columbia
1 Utica Zoo Way,Utica,United States,Utica Zoo,https://en.wikipedia.org/wiki/Utica_Zoo,200,200,New York
589 E 1300 S,Salt Lake City,United States,Tracy Aviary,https://en.wikipedia.org/wiki/Tracy_Aviary,,,Utah
2600 Sunnyside Avenue,Salt Lake City,United States,Utah's Hogle Zoo,https://en.wikipedia.org/wiki/Hogle_Zoo,800,800,Utah
560 Northfield Avenue,West Orange,United States,Turtle Back Zoo,https://en.wikipedia.org/wiki/Turtle_Back_Zoo,"Approximately 1,400","Approximately 1,400",New Jersey
6421 E 36th St N,Tulsa,United States,Tulsa Zoo,https://en.wikipedia.org/wiki/Tulsa_Zoo,"1,500","1,500",Oklahoma
Millbrook School Road,Millbrook,United States,Trevor Zoo,https://en.wikipedia.org/wiki/Trevor_Zoo,,,New York
2000 Meadowvale Rd,Toronto,Canada,Toronto Zoo,https://en.wikipedia.org/wiki/Toronto_Zoo,"5,000+","5,000+",Ontario
635 SW Gage Blvd,Topeka,United States,Topeka Zoo,https://en.wikipedia.org/wiki/Topeka_Zoo,300+,300+,Kansas
2700 Broadway St,Toledo,United States,Toledo Zoological Gardens,https://en.wikipedia.org/wiki/Toledo_Zoological_Gardens,"10,000 + ","10,000 + ",Ohio
2710 N Shoreline Blvd,Corpus Christi,United States,Texas State Aquarium,https://en.wikipedia.org/wiki/Texas_State_Aquarium,,,Texas
1 Broad St,Chattanooga,United States,Tennessee Aquarium,https://en.wikipedia.org/wiki/Tennessee_Aquarium,"12,000","12,000",Tennessee
2333 Oak Drive,Manhattan,United States,Sunset Zoological Park,https://en.wikipedia.org/wiki/Sunset_Zoo,330+,330+,Kansas
149 Pond St,Stoneham,United States,Stone Zoo,https://en.wikipedia.org/wiki/Stone_Zoo,797,797,Massachusetts
55 Music Concourse Drive,San Francisco,United States,Steinhart Aquarium,https://en.wikipedia.org/wiki/California_Academy_of_Sciences,,,California
614 Broadway,Staten Island,United States,Staten Island Zoo,https://en.wikipedia.org/wiki/Staten_Island_Zoo,1400,1400,New York
999 Anastasia Boulevard,St. Augustine,United States,St. Augustine Alligator Farm,https://en.wikipedia.org/wiki/St._Augustine_Alligator_Farm_Zoological_Park,,,Florida
23 Science Center Rd,Holderness,United States,Squam Lakes Natural Science Center,https://en.wikipedia.org/wiki/Squam_Lakes_Natural_Science_Center,,,New Hampshire
100 Aquarium Wharf,Charleston,United States,South Carolina Aquarium,https://en.wikipedia.org/wiki/South_Carolina_Aquarium,"10,000+","10,000+",South Carolina
3001 Connecticut Avenue NW,Washington,United States,Smithsonian National Zoological Park,https://en.wikipedia.org/wiki/National_Zoological_Park_(United_States),"Zoo: 2,000","Zoo: 2,000",District of Columbia
3950 Las Vegas Blvd. South,Las Vegas,United States,Shark Reef at Mandalay Bay,https://en.wikipedia.org/wiki/Shark_Reef_at_Mandalay_Bay,"Over 2,000","Over 2,000",Nevada
3414 W St,Eureka,United States,Sequoia Park Zoo,https://en.wikipedia.org/wiki/Sequoia_Park_Zoo,Vertebrates: 195 (in 2013),Vertebrates: 195 (in 2013),California
,Seoul,,Seoul Grand Park,https://en.wikipedia.org/wiki/Seoul_Grand_Park,,,South Korea
2222 Saint Paul St.,Rochester,United States,Seneca Park Zoo,https://en.wikipedia.org/wiki/Seneca_Park_Zoo,,,New York
5555 W Zoo Blvd,Wichita,United States,Sedgwick County Zoo,https://en.wikipedia.org/wiki/Sedgwick_County_Zoo,"3,000","3,000",Kansas
500 SeaWorld Drive,San Diego,United States,SeaWorld San Diego,https://en.wikipedia.org/wiki/SeaWorld_San_Diego,,,California
10500 SeaWorld Drive,San Antonio,United States,SeaWorld San Antonio,https://en.wikipedia.org/wiki/SeaWorld_San_Antonio,,,Texas
7007 SeaWorld Drive,Orlando,United States,SeaWorld Orlando,https://en.wikipedia.org/wiki/SeaWorld_Orlando,,,Florida
1483 Alaskan Way ,Seattle,United States,Seattle Aquarium,https://en.wikipedia.org/wiki/Seattle_Aquarium,,,Washington
PO Box 10000,Bay Lake,United States,The Seas with Nemo & Friends,https://en.wikipedia.org/wiki/The_Seas_with_Nemo_%26_Friends,,,Florida
4316 Baldwin Road,Auburn Hills,United States,Sea Life Michigan,https://en.wikipedia.org/wiki/Sea_Life_Michigan,,,Michigan
2475 Grand Blvd,Kansas City,United States,Sea Life Kansas City,https://en.wikipedia.org/wiki/Sea_Life_Kansas_City,,,Missouri
3000 Grapevine Mills Pkwy,Grapevine,United States,Sea Life Grapevine,https://en.wikipedia.org/wiki/Sea_Life_Grapevine,,,Texas
3000 NW 83rd St,Gainesville,United States,Santa Fe College Teaching Zoo,https://en.wikipedia.org/wiki/Santa_Fe_College_Teaching_Zoo,200+,200+,Florida
500 Ninos Drive,Santa Barbara,United States,Santa Barbara Zoo,https://en.wikipedia.org/wiki/Santa_Barbara_Zoo,600,600,California
1 Zoo Road,San Francisco,United States,San Francisco Zoological Gardens,https://en.wikipedia.org/wiki/San_Francisco_Zoo,1000+ (2015),1000+ (2015),California
15500 San Pasqual Valley Road,Escondido,United States,San Diego Zoo Safari Park,https://en.wikipedia.org/wiki/San_Diego_Zoo_Safari_Park,3500+,3500+,California
2920 Zoo Dr,San Diego,United States,San Diego Zoo,https://en.wikipedia.org/wiki/San_Diego_Zoo,"3,700+","3,700+",California
3903 N. Saint Mary's Street,San Antonio,United States,San Antonio Zoological Gardens & Aquarium,https://en.wikipedia.org/wiki/San_Antonio_Zoological_Gardens_%26_Aquarium,"3,500+","3,500+",Texas
3930 W Land Park Drive,Sacramento,United States,Sacramento Zoo,https://en.wikipedia.org/wiki/Sacramento_Zoo,Just over 500(2012),Just over 500(2012),California
One Conservation Place,Syracuse,United States,Rosamond Gifford Zoo,https://en.wikipedia.org/wiki/Rosamond_Gifford_Zoo,900+,900+,New York
1219 E Burdick Expy,Minot,United States,Roosevelt Park Zoo,https://en.wikipedia.org/wiki/Roosevelt_Park_Zoo,200,200,North Dakota
625 N Hedville Road,Salina,United States,Rolling Hills Zoo,https://en.wikipedia.org/wiki/Rolling_Hills_Zoo,100+,100+,Kansas
1000 Elmwood Avenue,Providence,United States,Roger Williams Park Zoo,https://en.wikipedia.org/wiki/Roger_Williams_Park_Zoo,100+,100+,Rhode Island
1100 S Randolph Way,Tucson,United States,Reid Park Zoo,https://en.wikipedia.org/wiki/Reid_Park_Zoo,500+,500+,Arizona
4220 21st Ave SW,Fargo,United States,Red River Zoo,https://en.wikipedia.org/wiki/Red_River_Zoo,85,85,North Dakota
2131 North Main Street,Racine,United States,Racine Zoo,https://en.wikipedia.org/wiki/Racine_Zoo,,,Wisconsin
5351 111th St,Flushing,United States,Queens Zoo,https://en.wikipedia.org/wiki/Queens_Zoo,75+,75+,New York
3455 Nuckolls Avenue,Pueblo,United States,Pueblo Zoo,https://en.wikipedia.org/wiki/Pueblo_Zoo,420,420,Colorado
2218 N. Prospect Rd.,Peoria,United States,Peoria Zoo,https://en.wikipedia.org/wiki/Peoria_Zoo,232,232,Illinois
"Carretera an Ibarrilla Km. 6, Col. Ibarrilla",León,Mexico,Parque Zoologico de León,https://en.wikipedia.org/wiki/Zoo_Le%C3%B3n,2000,2000,Guanajuato
450 Flatbush Avenue,Brooklyn,United States,Prospect Park Zoo,https://en.wikipedia.org/wiki/Prospect_Park_Zoo,864 (2016),864 (2016),New York
Rt. 88 N,Wheeling,United States,Oglebay's Good Zoo,https://en.wikipedia.org/wiki/Oglebay%27s_Good_Zoo,,,West Virginia
3400 W Girard Avenue,Philadelphia,United States,Philadelphia Zoo,https://en.wikipedia.org/wiki/Philadelphia_Zoo,"~1,300","~1,300",Pennsylvania
Ocean Park Road,Wong Chuk Hang,,"Ocean Park, Hong Kong","https://en.wikipedia.org/wiki/Ocean_Park,_Hong_Kong",,,Hong Kong
1301 Summit Blvd,West Palm Beach,United States,Palm Beach Zoo,https://en.wikipedia.org/wiki/Palm_Beach_Zoo,Over 550 animals (190 species),Over 550 animals (190 species),Florida
9500 East Vía de Ventura A-100,Scottsdale,United States,OdySea Aquarium,https://en.wikipedia.org/wiki/OdySea_Aquarium,"30,000","30,000",Arizona
9777 Golf Links Rd,Oakland,United States,Oakland Zoo,https://en.wikipedia.org/wiki/Oakland_Zoo,660+ ,660+ ,California
11610 Trek Drive E,Eatonville,United States,Northwest Trek Wildlife Park,https://en.wikipedia.org/wiki/Northwest_Trek,200+,200+,Washington
4418 Reforestation Road,Green Bay,United States,Northeastern Wisconsin (NEW) Zoo,https://en.wikipedia.org/wiki/Northeastern_Wisconsin_Zoo,215+,215+,Wisconsin
4401 Zoo Pkwy,Asheboro,United States,North Carolina Zoological Park,https://en.wikipedia.org/wiki/North_Carolina_Zoo,"1,800+.","1,800+.",North Carolina
374 Airport Rd,Manteo,United States,North Carolina Aquarium on Roanoke Island,https://en.wikipedia.org/wiki/North_Carolina_Aquarium_on_Roanoke_Island,,,North Carolina
